State,Year,Population,Population Percentage,StateID
Alabama,1980,39820,1,AL
Alaska,1980,15420,3.8,AK
Arizona,1980,165380,6.1,AZ
Arkansas,1980,22460,1,AR
California,1980,3571600,15.1,CA
Colorado,1980,114440,4,CO
Connecticut,1980,270840,8.7,CT
Delaware,1980,18020,3.1,DE
District of Columbia,1980,39620,6.2,DC
Florida,1980,1056080,10.8,FL
Georgia,1980,91700,1.7,GA
Hawaii,1980,139820,14.4,HI
Idaho,1980,23880,2.5,ID
Illinois,1980,822380,7.2,IL
Indiana,1980,102940,1.9,IN
Iowa,1980,47760,1.6,IA
Kansas,1980,48660,2.1,KS
Kentucky,1980,33920,0.9,KY
Louisiana,1980,84500,2,LA
Maine,1980,43220,3.8,ME
Maryland,1980,194400,4.6,MD
Massachusetts,1980,497240,8.7,MA
Michigan,1980,413860,4.5,MI
Minnesota,1980,105400,2.6,MN
Mississippi,1980,23760,0.9,MS
Missouri,1980,87240,1.8,MO
Montana,1980,18940,2.4,MT
Nebraska,1980,30860,2,NE
Nevada,1980,56020,7,NV
New Hampshire,1980,40660,4.4,NH
New Jersey,1980,756000,10.3,NJ
New Mexico,1980,51320,3.9,NM
New York,1980,2389700,13.6,NY
North Carolina,1980,78160,1.3,NC
North Dakota,1980,15140,2.3,ND
Ohio,1980,298280,2.8,OH
Oklahoma,1980,57980,1.9,OK
Oregon,1980,106340,4,OR
Pennsylvania,1980,402380,3.4,PA
Rhode Island,1980,84840,9,RI
South Carolina,1980,46620,1.5,SC
South Dakota,1980,10140,1.5,SD
Tennessee,1980,49180,1.1,TN
Texas,1980,862220,6,TX
Utah,1980,52540,3.6,UT
Vermont,1980,21920,4.3,VT
Virginia,1980,180240,3.4,VA
Washington,1980,240100,5.8,WA
West Virginia,1980,21100,1.1,WV
Wisconsin,1980,125140,2.7,WI
Wyoming,1980,9280,2,WY
Alabama,1990,41952,1,AL
Alaska,1990,22973,4.2,AK
Arizona,1990,276353,7.6,AZ
Arkansas,1990,25319,1.1,AR
California,1990,6443028,21.7,CA
Colorado,1990,141729,4.3,CO
Connecticut,1990,278205,8.5,CT
Delaware,1990,21770,3.3,DE
District of Columbia,1990,59144,9.7,DC
Florida,1990,1661216,12.9,FL
Georgia,1990,173135,2.7,GA
Hawaii,1990,164739,14.9,HI
Idaho,1990,28376,2.9,ID
Illinois,1990,945672,8.3,IL
Indiana,1990,97149,1.8,IN
Iowa,1990,44983,1.6,IA
Kansas,1990,62340,2.5,KS
Kentucky,1990,32437,0.9,KY
Louisiana,1990,86082,2.1,LA
Maine,1990,36827,3,ME
Maryland,1990,310758,6.5,MD
Massachusetts,1990,574263,9.5,MA
Michigan,1990,353315,3.8,MI
Minnesota,1990,114108,2.6,MN
Mississippi,1990,20982,0.8,MS
Missouri,1990,82771,1.6,MO
Montana,1990,13620,1.7,MT
Nebraska,1990,26543,1.7,NE
Nevada,1990,104457,8.7,NV
New Hampshire,1990,40186,3.6,NH
New Jersey,1990,965560,12.5,NJ
New Mexico,1990,78792,5.2,NM
New York,1990,2835635,15.8,NY
North Carolina,1990,116271,1.8,NC
North Dakota,1990,9600,1.5,ND
Ohio,1990,255582,2.4,OH
Oklahoma,1990,64474,2.1,OK
Oregon,1990,138121,4.9,OR
Pennsylvania,1990,364870,3.1,PA
Rhode Island,1990,94979,9.5,RI
South Carolina,1990,48414,1.4,SC
South Dakota,1990,7364,1.1,SD
Tennessee,1990,58476,1.2,TN
Texas,1990,1514875,8.9,TX
Utah,1990,57091,3.3,UT
Vermont,1990,17399,3.1,VT
Virginia,1990,309567,5,VA
Washington,1990,319095,6.6,WA
West Virginia,1990,15865,0.9,WV
Wisconsin,1990,117137,2.4,WI
Wyoming,1990,8405,1.9,WY
Alabama,2000,88899,2,AL
Alaska,2000,38212,6.1,AK
Arizona,2000,662174,12.9,AZ
Arkansas,2000,72878,2.7,AR
California,2000,8885299,26.2,CA
Colorado,2000,370676,8.6,CO
Connecticut,2000,367558,10.8,CT
Delaware,2000,45381,5.8,DE
District of Columbia,2000,73676,12.9,DC
Florida,2000,2666010,16.7,FL
Georgia,2000,578636,7.1,GA
Hawaii,2000,213528,17.6,HI
Idaho,2000,64038,4.9,ID
Illinois,2000,1533949,12.4,IL
Indiana,2000,190585,3.1,IN
Iowa,2000,90089,3.1,IA
Kansas,2000,136640,5.1,KS
Kentucky,2000,78744,1.9,KY
Louisiana,2000,119003,2.7,LA
Maine,2000,36909,2.9,ME
Maryland,2000,516935,9.8,MD
Massachusetts,2000,771627,12.1,MA
Michigan,2000,521150,5.2,MI
Minnesota,2000,256705,5.2,MN
Mississippi,2000,39131,1.4,MS
Missouri,2000,152931,2.7,MO
Montana,2000,16590,1.8,MT
Nebraska,2000,72910,4.3,NE
Nevada,2000,316830,15.8,NV
New Hampshire,2000,51228,4.1,NH
New Jersey,2000,1471566,17.5,NJ
New Mexico,2000,149592,8.2,NM
New York,2000,3864227,20.4,NY
North Carolina,2000,432083,5.4,NC
North Dakota,2000,12351,1.9,ND
Ohio,2000,344889,3,OH
Oklahoma,2000,129345,3.7,OK
Oregon,2000,291172,8.5,OR
Pennsylvania,2000,507847,4.1,PA
Rhode Island,2000,118384,11.3,RI
South Carolina,2000,118304,2.9,SC
South Dakota,2000,14538,1.9,SD
Tennessee,2000,159343,2.8,TN
