Status,Year,Pop,Pop%
All Foreign Born,1980,14079460,6.2
Citizen,1980,7095720,50.0
Non-Citizen,1980,6983740,50.0
All Foreign Born,1990,19682004,7.9
Citizen,1990,7962082,40.5
Non-Citizen,1990,11719922,59.5
All Foreign Born,2000,31133481,11.1
Citizen,2000,12533932,40.5
Non-Citizen,2000,18599549,59.5
All Foreign Born,2010,39916875,12.9
Citizen,2010,17456312,43.4
Non-Citizen,2010,22460563,56.6
All Foreign Born,2018,44760622,13.7
Citizen,2018,22679525,50.4
Non-Citizen,2018,22081097,48.9
